Store,Date,Promotion_Flag,Customer_Traffic,Satisfaction_Score
1,2010-02-02,0,747,3.54
1,2010-02-09,1,571,3.72
1,2010-02-16,0,162,3.12
1,2010-02-23,0,238,2.79
1,2010-03-02,0,598,3.21
1,2010-03-09,1,692,3.37
1,2010-03-16,0,491,1.32
1,2010-03-23,0,774,2.48
1,2010-03-30,0,518,1.97
1,2010-04-06,1,388,4.21
1,2010-04-13,0,478,2.88
1,2010-04-20,0,872,4.93
1,2010-04-27,0,589,2.6
1,2010-05-04,0,330,4.27
1,2010-05-11,1,140,4.19
1,2010-05-18,0,127,1.6
1,2010-05-25,1,234,3.03
1,2010-06-01,1,300,3.78
1,2010-06-08,1,939,4.43
1,2010-06-15,0,879,2.3
1,2010-06-22,1,132,1.88
1,2010-06-29,0,147,3.84
1,2010-07-06,1,602,4.24
1,2010-07-13,1,506,2.39
1,2010-07-20,1,673,1.38
1,2010-07-27,1,827,4.76
1,2010-08-03,1,904,2.59
1,2010-08-10,1,198,3.07
1,2010-08-17,1,783,4.35
1,2010-08-24,1,971,3.7
1,2010-08-31,0,825,3.94
1,2010-09-07,0,646,1.84
1,2010-09-14,1,838,3.17
1,2010-09-21,1,712,3.78
1,2010-09-28,1,561,1.91
1,2010-10-05,0,742,1.7
1,2010-10-12,1,868,4.93
1,2010-10-19,0,104,3.07
1,2010-10-26,0,317,2.04
1,2010-11-02,0,602,4.99
1,2010-11-09,0,866,4.86
1,2010-11-16,0,497,3.23
1,2010-11-23,1,970,4.53
1,2010-11-30,1,894,1.75
1,2010-12-07,1,492,2.12
1,2010-12-14,1,306,3.8
1,2010-12-21,1,114,4.39
1,2010-12-28,0,957,4.43
1,2011-01-04,1,653,2.62
1,2011-01-11,1,991,4.55
1,2011-01-18,0,560,4.4
1,2011-01-25,1,790,4.74
1,2011-02-01,0,674,4.14
1,2011-02-08,1,963,3.68
1,2011-02-15,0,842,3.32
1,2011-02-22,1,340,2.49
1,2011-03-01,1,663,4.76
1,2011-03-08,0,195,4.89
1,2011-03-15,0,999,2.14
1,2011-03-22,0,833,2.22
1,2011-03-29,0,584,2.94
1,2011-04-05,0,506,2.79
1,2011-04-12,0,330,4.98
1,2011-04-19,0,848,1.7
1,2011-04-26,0,754,1.07
1,2011-05-03,1,270,2.98
1,2011-05-10,1,640,1.72
1,2011-05-17,0,135,2.47
1,2011-05-24,1,624,3.98
1,2011-05-31,1,259,3.88
1,2011-06-07,1,938,2.23
