Store,Date,Product_Category,Category_Sales
1,2010-02-02,Electronics,6091
1,2010-02-02,Clothing,1252
1,2010-02-02,Grocery,9315
1,2010-02-02,Furniture,1623
1,2010-02-02,Toys,4156
1,2010-02-02,Health,4389
1,2010-02-02,Books,4417
1,2010-02-02,Sports,3945
1,2010-02-09,Electronics,9632
1,2010-02-09,Clothing,3092
1,2010-02-09,Grocery,3705
1,2010-02-09,Furniture,4759
1,2010-02-09,Toys,6112
1,2010-02-09,Health,1553
1,2010-02-09,Books,5904
1,2010-02-09,Sports,2112
1,2010-02-16,Electronics,3777
1,2010-02-16,Clothing,8097
1,2010-02-16,Grocery,2314
1,2010-02-16,Furniture,4493
1,2010-02-16,Toys,9290
1,2010-02-16,Health,8473
1,2010-02-16,Books,8015
1,2010-02-16,Sports,6710
1,2010-02-23,Electronics,2222
1,2010-02-23,Clothing,5583
1,2010-02-23,Grocery,6520
1,2010-02-23,Furniture,8872
1,2010-02-23,Toys,9668
1,2010-02-23,Health,6431
1,2010-02-23,Books,2705
1,2010-02-23,Sports,1517
1,2010-03-02,Electronics,2220
1,2010-03-02,Clothing,3506
1,2010-03-02,Grocery,5325
1,2010-03-02,Furniture,6479
1,2010-03-02,Toys,8436
1,2010-03-02,Health,4090
1,2010-03-02,Books,7497
1,2010-03-02,Sports,6168
1,2010-03-09,Electronics,7993
1,2010-03-09,Clothing,1973
1,2010-03-09,Grocery,6277
1,2010-03-09,Furniture,9257
1,2010-03-09,Toys,7092
1,2010-03-09,Health,3906
1,2010-03-09,Books,1570
1,2010-03-09,Sports,1307
1,2010-03-16,Electronics,4742
1,2010-03-16,Clothing,9974
1,2010-03-16,Grocery,1765
1,2010-03-16,Furniture,9964
1,2010-03-16,Toys,8814
1,2010-03-16,Health,8735
1,2010-03-16,Books,9036
1,2010-03-16,Sports,8596
1,2010-03-23,Electronics,1539
1,2010-03-23,Clothing,8985
1,2010-03-23,Grocery,3049
1,2010-03-23,Furniture,4283
1,2010-03-23,Toys,5675
1,2010-03-23,Health,2663
1,2010-03-23,Books,7476
1,2010-03-23,Sports,4439
1,2010-03-30,Electronics,9697
1,2010-03-30,Clothing,8143
1,2010-03-30,Grocery,4247
1,2010-03-30,Furniture,4500
1,2010-03-30,Toys,2910
1,2010-03-30,Health,1732
1,2010-03-30,Books,4513
1,2010-03-30,Sports,5609
1,2010-04-06,Electronics,5456
1,2010-04-06,Clothing,4335
1,2010-04-06,Grocery,9168
1,2010-04-06,Furniture,8056
1,2010-04-06,Toys,3753
1,2010-04-06,Health,2372
1,2010-04-06,Books,4376
1,2010-04-06,Sports,9481
1,2010-04-13,Electronics,1063
1,2010-04-13,Clothing,4945
1,2010-04-13,Grocery,1329
1,2010-04-13,Furniture,5858
1,2010-04-13,Toys,2963
1,2010-04-13,Health,4088
1,2010-04-13,Books,1140
1,2010-04-13,Sports,5539
1,2010-04-20,Electronics,3473
1,2010-04-20,Clothing,6594
1,2010-04-20,Grocery,4903
1,2010-04-20,Furniture,6364
1,2010-04-20,Toys,1449
1,2010-04-20,Health,5446
1,2010-04-20,Books,5694
1,2010-04-20,Sports,5806
1,2010-04-27,Electronics,1869
1,2010-04-27,Clothing,7079
1,2010-04-27,Grocery,8307
1,2010-04-27,Furniture,4659
1,2010-04-27,Toys,4602
1,2010-04-27,Health,9584
1,2010-04-27,Books,3448
1,2010-04-27,Sports,8592
1,2010-05-04,Electronics,3953
1,2010-05-04,Clothing,6131
1,2010-05-04,Grocery,2358
1,2010-05-04,Furniture,9219
1,2010-05-04,Toys,1387
1,2010-05-04,Health,1832
1,2010-05-04,Books,9441
1,2010-05-04,Sports,5193
1,2010-05-11,Electronics,2838
1,2010-05-11,Clothing,1891
1,2010-05-11,Grocery,6588
1,2010-05-11,Furniture,2305
1,2010-05-11,Toys,6283
1,2010-05-11,Health,5548
1,2010-05-11,Books,5192
1,2010-05-11,Sports,7452
1,2010-05-18,Electronics,9453
1,2010-05-18,Clothing,3340
1,2010-05-18,Grocery,2793
1,2010-05-18,Furniture,7394
1,2010-05-18,Toys,1324
1,2010-05-18,Health,8848
1,2010-05-18,Books,9114
1,2010-05-18,Sports,7644
1,2010-05-25,Electronics,5782
1,2010-05-25,Clothing,4137
1,2010-05-25,Grocery,4898
1,2010-05-25,Furniture,1835
1,2010-05-25,Toys,5154
1,2010-05-25,Health,3778
1,2010-05-25,Books,7409
1,2010-05-25,Sports,5313
1,2010-06-01,Electronics,6646
1,2010-06-01,Clothing,8608
1,2010-06-01,Grocery,4721
1,2010-06-01,Furniture,8911
1,2010-06-01,Toys,2671
1,2010-06-01,Health,1916
1,2010-06-01,Books,6588
1,2010-06-01,Sports,7496
1,2010-06-08,Electronics,2836
1,2010-06-08,Clothing,3138
1,2010-06-08,Grocery,5007
1,2010-06-08,Furniture,2905
1,2010-06-08,Toys,4989
1,2010-06-08,Health,4485
1,2010-06-08,Books,5797
1,2010-06-08,Sports,3732
1,2010-06-15,Electronics,8714
1,2010-06-15,Clothing,2321
1,2010-06-15,Grocery,4354
1,2010-06-15,Furniture,8101
1,2010-06-15,Toys,5743
1,2010-06-15,Health,9951
1,2010-06-15,Books,8014
1,2010-06-15,Sports,4412
1,2010-06-22,Electronics,8825
1,2010-06-22,Clothing,2357
1,2010-06-22,Grocery,4481
1,2010-06-22,Furniture,2766
1,2010-06-22,Toys,9219
1,2010-06-22,Health,8163
1,2010-06-22,Books,3470
1,2010-06-22,Sports,1159
1,2010-06-29,Electronics,3892
1,2010-06-29,Clothing,6326
1,2010-06-29,Grocery,5113
1,2010-06-29,Furniture,8749
